buff_id,buff_name,buff_detail,buff_sameadd_max,buff_maxtime,buff_interface_show_flag
10002,Imprisonment,,1,2.5,0
10004,Injured,,1,12.0,0
10005,Super Armor,,1,45.0,0
10006,Immobilized,Immobilized; unable to move or cast most skills,1,10.0,0
10007,Healing Boost,,1,4.5,0
10008,Inner Power,,1,4.5,0
10009,Fury,,5,6.0,0
10011,Protective Aura,,1,4.5,0
10012,Cause Defeated,,1,6.0,0
10013,Healing Boost,,1,6.0,0
10014,Slow Down,Movement Speed reduced by 25%,1,4.5,0
10015,Speed Up,Movement Speed increased by 25%,1,4.5,0
10016,Defensive,Immune to serious injury while active,1,4.5,0
10017,Awareness,,1,7.5,0
10018,Awareness,,1,7.5,0
10019,Immobilized,Immobilized; unable to move or cast most skills,1,4.5,0
10020,Super Armor,Immune to most stagger effects after being hit,1,6.0,0
10021,Slow Down,Movement Speed reduced by 50%,1,4.5,0
10022,Imprisonment,Unable to Move,1,4.5,0
10024,Exhausted,Take increased damage when Qi is empty,1,7.0,0
10026,Weakened,"Weakened, HP and Qi damage dealt reduced by 30%",1,5.0,0
10027,Slow Down,Movement Speed reduced by 15%,1,-1.0,0
10028,Slow Down,Movement Speed reduced by 25%,1,-1.0,0
10029,Slow Down,Movement Speed reduced by 50%,1,-1.0,0
10030,Damage Boost,Damage increased by 10%,1,8.0,0
10031,Damage Boost,Damage increased by 15%,1,8.0,0
10032,Dodge,,1,0.3,0
10033,Frozen,"Frozen, unable to move or cast most skills",1,3.0,0
10034,Knockdown,,1,-1.0,0
10035,Acupoints Sealed,"Acupoints sealed, unable to defend or use Defense Break Skill/Counterattack Skill",1,5.0,0
10036,Acupoints Sealed,,1,5.0,0
10501,Invincibility,,1,-1.0,0
10502,Cannot be Selected,,1,-1.0,0
10503,Break Lock,,1,-1.0,0
10504,Break Lock,,1,-1.0,0
10505,Break Lock,,1,-1.0,0
10506,Break Lock,,1,-1.0,0
10511,Lv. 1 Super Armor,,1,-1.0,0
10512,Lv. 2 Super Armor,,1,-1.0,0
10513,Lv. 3 Super Armor,,1,-1.0,0
10521,Lock HP,,1,-1.0,0
10522,Death Immunity,,1,-1.0,0
10523,10% DMG Reduction,,1,-1.0,0
10524,30% DMG Reduction,,1,-1.0,0
10525,50% DMG Reduction,,1,-1.0,0
10526,70% DMG Reduction,,1,-1.0,0
10527,90% DMG Reduction,,1,-1.0,0
10531,Qi Lock,,1,-1.0,0
10532,Immune to Exhaustion,,1,-1.0,0
10533,10% Qi DMG Reduction,,1,-1.0,0
10534,30% Qi DMG Reduction,,1,-1.0,0
10535,50% Qi DMG Reduction,,1,-1.0,0
10536,70% Qi DMG Reduction,,1,-1.0,0
10537,90% Qi DMG Reduction,,1,-1.0,0
10601,Airborne Anti Fall_Strong,,1,-1.0,0
10602,Airborne Anti Fall_Weak,,1,-1.0,0
10621,Red Glow Pre-cast_Strong,,1,-1.0,0
10622,Red Glow Pre-cast_Weak,,1,-1.0,0
10624,Skill Once Only_With DMG Reduction,,1,-1.0,0
10625,Skill Once Only,,1,-1.0,0
10626,Gold Glow Pre-cast_Strong,,1,-1.0,0
10627,Gold Glow Pre-cast_Weak,,1,-1.0,0
10628,Red Glow Pre-cast_Strong,,1,-1.0,0
10629,Red Glow Pre-cast_Weak,,1,-1.0,0
20000,Waterless,Very clean,1,10.0,0
20001,Tipsy,Fragrant,30,60.0,0
20002,Intoxicated,Lightheaded,30,600.0,0
20003,Lost,Carried away,999,1800.0,0
20004,Imprisonment,Unable to move!,1,300.0,0
20005,Leave Combat,,1,3.0,0
20006,Leg Injury,My leg hurts!,1,1200.0,0
20007,Water Dungeon,The torture is unbearable. Rescue needed!,1,240.0,0
20008,Invisibility,,1,1.0,0
20009,Unparalleled Strength,Feeling an abundance of energy within!,1,300.0,0
20010,Overwhelming Spirit,Overflowing with gas!,1,0.4,0
20011,Enter Combat,,1,-1.0,0
20012,Hunted,You've been targeted!,1,3.0,0
20013,Hunted,,1,6.0,0
20014,Hunted,You've been targeted!,1,-1.0,0
20015,Invincibility,,1,-1.0,0
20016,Calm,Your mind has calmed down,1,-1.0,0
20017,Lock 1%hp,,1,5.0,0
20018,Blood Loss,Gradually losing HP.,1,8.0,0
20019,Dispel Guarding Qi Core,,1,8.0,0
20020,Invincibility,,1,-1.0,0
20021,Popular,,5,10000.0,0
20022,Popular,,1,5.0,0
20023,Play Dead,,1,5.0,0
20024,Hot Spring in Snow,Very comfortable!,1,10000.0,0
20025,Hot Spring in Snow,Very comfortable!,1,10000.0,0
20026,Endurance Up,"After soaking in the hot spring, Max Endurance is increased by 20, Endurance cost is reduced by 50%, and climbing feels easier.",1,600.0,0
20027,Cannot die from falling into pot,,1,5.0,0
20028,Slow Down,,1,10.0,0
20029,Invisibility,,1,-1.0,0
20030,Leave Combat,,1,-1.0,0
20031,Dash,Increases Movement Speed.,1,4.0,0
20032,Immune,,1,-1.0,0
20033,Redo,,10,1.0,0
20034,Pull a cart,,1,-1.0,0
20035,Poo-gressive Dedication,,1,-1.0,0
20036,Slip,,1,3.0,0
20037,Wund Balm,"Try it once, and you might not live to try again.",1,3.0,0
30001,Immobilize 1,,1,10.0,0
30002,Immobilize 2,,1,10.0,0
30003,Immobilize 1,,1,4.0,0
30004,Immobilize 2,,1,4.0,0
30005,Control Immunity,,1,10.0,0
30006,Death Immunity,,1,-1.0,0
30007,Cannot be Selected,,1,-1.0,0
30008,Imprisonment,,1,5.0,0
30009,Super Armor,Immune to Weak Attack's Stagger Effect,1,5.0,0
30010,Chaos,Inversed Stick,1,5.0,0
30011,Death Immunity,,1,-1.0,0
30012,Super Armor,Immune to Weak Attack's Stagger Effect,1,5.0,0
30013,Stun,,1,4.0,0
30014,Silence 0,Silence 0,1,5.0,0
30015,Silence 1,Silence 1,1,5.0,0
30016,Silence 2,Silence 2,1,5.0,0
30017,Cannot be Selected,,1,5.0,0
30018,Super Armor,Immune to Weak Attack's Stagger Effect,1,-1.0,0
30019,Weakened,Takes increased damage from Qi cluster's caster,1,8.0,0
30020,Awareness,,1,7.5,0
30021,Awareness,,1,7.5,0
30022,Awareness,,1,7.5,0
30023,Awareness,,1,7.5,0
30024,Awareness,,1,7.5,0
30025,Awareness,,1,7.5,0
30026,Awareness,,1,7.5,0
30027,Exposed,Exposed: Takes increased Qi damage,1,10.0,0
30028,Concentration,"Upon successful defense, enter Concentration state and deal extra damage.",1,10.0,0
30029,Super Armor,,1,15.0,0
30101,Immobilized,,1,3.0,0
30102,Awareness,,1,7.5,0
30103,Invincibility,,1,1.5,0
30201,Combo,,1,6.0,0
30202,Combo,,1,6.0,0
30203,Disarm,,1,300.0,0
30204,Combo,,1,3.0,0
30205,Combo,,1,3.0,0
30206,Injured,,3,9.5,0
30207,Amplification,,1,15.0,0
30208,Domain - Self,,1,-1.0,0
30209,Domain - Friendly,,1,-1.0,0
30210,Domain - Enemy,,1,-1.0,0
30301,Cannot be Selected,,1,7.5,0
30302,Damage Boost,Increases damage dealt,1,8.0,0
30303,Shield,Bonus shield to block damage,1,15.0,0
30304,DMG Reduction,Reduces damage taken,1,10.0,0
30305,Weakened,Reduces damage dealt,1,8.0,0
30306,Taunt,Becomes Taunted,1,15.0,0
30307,Berserk,,1,6.0,0
30308,Wildfire,Redirects damage taken,1,6.0,0
30309,Silence,Active Skill Disabled,1,3.0,0
30310,Iron Body,"Gain Super Armor, completely negate one incoming attack, and become immune to all debuffs against you",3,15.0,0
30311,Body Breaker,Body Breaker,1,15.0,0
30312,Stun,"Being stunned, unable to move or cast most skills",1,3.0,0
30313,Fragile,Increases damage taken by 15%,1,10.0,0
30314,Drunkenness,Increases your Attack by 25% and allows you to drain HP equal to 20% of the skill damage,1,8.0,0
30315,Cannot be Selected,,1,30.0,0
30316,Jump Disabled,,1,6.0,0
30317,Super Armor,,1,6.0,0
30318,Leave Combat,,1,30.0,0
30319,Collision removed,,1,10.0,0
30320,Immobilized,Immobilized; unable to move or cast most skills,1,5.0,0
30321,Karmic Burden,70% of your damage dealt to the target will be returned to you later. Casting multiple skills will stack this damage.,1,10.0,0
30322,Taunt,Transfers a percentage of damage dealt over a certain period to the effect's source,1,15.0,0
30323,DMG Reduction,Reduces damage taken,1,5.0,0
30324,Immobilized,Immobilized; unable to move or cast most skills,1,3.0,0
30325,Super Armor,,1,-1.0,0
30326,Mark,,1,2.0,0
30327,Poisoned,"The poisonous water from the Gleaming Abyss enters your body, causing you to lose HP over time until you are defeated. Leave the poisonous water to recover.",1,-1.0,0
30328,Taunt,,1,3.0,0
30329,Silence,Active Skill Disabled,1,3.0,0
30330,Frostbite,The chilling cold causes you to lose HP over time until you are defeated. Leave the cold area or find a campfire to recover.,1,-1.0,0
30331,Absorb,,1,5.2,0
30332,Slow Down,Reduces Movement Speed by 70%,1,3.0,0
30333,DMG Reduction,Reduces damage taken by 30%.,1,6.0,0
30334,DMG Reduction,Reduces damage taken by 50%.,1,6.0,0
30335,Firefly,,1,30.0,0
30336,Immobilized,Immobilized; unable to move or cast most skills,1,5.0,0
30337,Immobilized,Immobilized; unable to move or cast most skills,1,5.0,0
